type	latitude	longitude	altitude (ft)	eos	name
T	25.821127000	-80.125001000	2.9		
T	25.845821000	-80.127667000	0.3		
T	25.846671000	-80.129518000	3.3		
T	25.816284000	-80.125207000	3.0		
T	25.827054000	-80.124142000	3.2		
T	25.845263000	-80.125878000	0.3		
T	25.827225000	-80.133269000	0.3		
T	25.820708000	-80.124928000	3.0		
T	25.821662000	-80.125049000	3.1		
T	25.836486000	-80.131948000	0.3		
T	25.842825000	-80.130480000	0.3		
T	25.842689000	-80.130673000	0.3		
T	25.808793000	-80.137840000	0.1		
T	25.847201000	-80.124518000	0.2		
T	25.823807000	-80.136322000	0.3		
T	25.839636000	-80.132526000	0.3		
T	25.819683000	-80.136950000	0.3		
T	25.818720000	-80.137554000	0.3		
T	25.817128000	-80.182504000	0.2		
T	25.854050000	-80.145448000	0.3		
T	25.844163000	-80.128965000	0.3		
T	25.846028000	-80.123434000	0.0		
T	25.843386000	-80.129778000	0.3		
T	25.848111000	-80.126501000	1.0		
T	25.824910000	-80.135323000	0.3		
T	25.824579000	-80.135834000	0.3		
T	25.826953000	-80.125940000	4.6		
T	25.831628000	-80.130143000	0.3		
T	25.849778000	-80.129387000	0.4		
T	25.829947000	-80.123999000	2.3		
T	25.824356000	-80.124291000	3.0		
T	25.819675000	-80.124756000	2.9		
T	25.824570000	-80.131509000	0.3		
T	25.832943000	-80.123781000	3.2		
T	25.817654000	-80.181854000	0.3		
T	25.846113000	-80.124323000	0.3		
T	25.833228000	-80.123733000	2.7		
T	25.820968000	-80.180145000	0.0		
T	25.817701000	-80.131406000	0.2		
T	25.823771000	-80.127101000	3.0		
T	25.819113000	-80.184870000	4.1		
T	25.814845000	-80.185401000	4.2		
T	25.832275000	-80.130074000	0.3		
T	25.845579000	-80.125880000	0.3		
T	25.840349000	-80.123885000	3.0		
T	25.846602000	-80.123539000	0.0		
T	25.829000000	-80.123975000	3.1		
T	25.831841000	-80.130107000	0.3		
T	25.810506000	-80.133920000	0.2		
T	25.856449000	-80.145409000	0.5		
T	25.846949000	-80.123601000	0.1		
T	25.848237000	-80.131167000	3.3		
T	25.829919000	-80.180445000	3.3		
T	25.841974000	-80.174670000	0.2		
T	25.854907000	-80.145502000	0.6		
T	25.829947000	-80.123999000	2.3		
T	25.844324000	-80.153194000	0.3		
T	25.849308000	-80.138721000	0.3		
T	25.844727000	-80.125567000	0.3		
T	25.847593000	-80.159999000	0.5		
T	25.844365000	-80.151638000	0.3		
T	25.842344000	-80.127580000	2.6		
T	25.844275000	-80.127441000	0.9		
T	25.842493000	-80.124725000	1.4		
T	25.849134000	-80.129484000	3.0		
T	25.859278000	-80.143665000	0.3		
T	25.816885000	-80.132104000	0.3		
T	25.844370000	-80.151453000	0.3		
T	25.822230000	-80.128383000	0.7		
T	25.861436000	-80.129388000	0.5		
T	25.847440000	-80.124560000	0.3		
T	25.848560000	-80.127398000	3.5		
T	25.817787000	-80.132038000	0.6		
T	25.851119000	-80.133575000	0.5		
T	25.842850000	-80.174154000	0.3		
T	25.855429000	-80.138134000	0.6		
T	25.836164000	-80.130951000	1.0		
T	25.841061000	-80.176363000	0.9		
T	25.818993000	-80.186786000	7.5		
T	25.817559000	-80.183709000	3.5		
T	25.847655000	-80.123728000	0.0		
T	25.808750000	-80.125531000	3.9		
T	25.819309000	-80.130190000	0.3		
T	25.848277000	-80.127335000	3.6		
T	25.815206000	-80.186113000	7.5		
T	25.832667000	-80.124537000	3.6		
T	25.861283000	-80.171505000	0.3		
T	25.842351000	-80.174324000	0.3		
T	25.831721000	-80.129503000	1.0		
T	25.831024000	-80.125700000	3.6		
T	25.844187000	-80.157037000	0.3		
T	25.818061000	-80.182311000	0.3		
T	25.816885000	-80.132104000	0.3		
T	25.825232000	-80.125281000	3.7		
T	25.820184000	-80.134597000	1.6		
T	25.820746000	-80.130893000	0.8		
T	25.863152000	-80.192825000	7.1		
T	25.826863000	-80.130903000	1.3		
T	25.821612000	-80.183135000	3.8		
T	25.818320000	-80.137098000	0.3		
T	25.828650000	-80.124838000	4.3		
T	25.848436000	-80.129891000	3.3		
T	25.821750000	-80.179843000	3.2		
T	25.825177000	-80.133497000	2.0		
T	25.822897000	-80.136179000	0.3		
T	25.828402000	-80.131328000	0.3		
T	25.863152000	-80.192825000	7.1		
T	25.820990000	-80.182797000	0.0		
T	25.828167000	-80.129483000	2.4		
T	25.825439000	-80.125263000	3.5		
T	25.847145000	-80.131639000	3.3		
T	25.843068000	-80.175640000	0.3		
T	25.824245000	-80.130078000	1.9		
T	25.814483000	-80.133041000	0.5		
T	25.817770000	-80.131703000	0.3		
T	25.840924000	-80.125836000	3.1		
T	25.819048000	-80.130270000	0.3		
T	25.819048000	-80.130270000	0.3		
T	25.844855000	-80.155102000	0.3		
T	25.816451000	-80.136636000	2.6		
T	25.846452000	-80.181177000	1.5		
T	25.848875000	-80.130365000	3.0		
T	25.842355000	-80.175840000	0.3		
T	25.811870000	-80.131133000	1.2		
T	25.821152000	-80.126627000	2.8		
T	25.816972000	-80.136000000	2.1		
T	25.809077000	-80.136786000	1.4		
T	25.819580000	-80.133850000	2.5		
T	25.816451000	-80.136636000	2.6		
T	25.857240000	-80.145126000	0.3		
T	25.854553000	-80.171664000	0.3		
T	25.844846000	-80.178680000	0.4		
T	25.847713000	-80.128826000	3.9		
T	25.814558000	-80.185926000	5.6		
